algoritmo,n,problema,resuelto,tiempo_segundos,longitud_plan,optimo,motivo
BFS,2,problem_d1_r0_l2_p2_c2_g2.pddl,si,0.00025,5,si,ok
IDS,2,problem_d1_r0_l2_p2_c2_g2.pddl,si,0.00031,5,si,ok
A*_hMAX,2,problem_d1_r0_l2_p2_c2_g2.pddl,si,0.00081,5,si,ok
GBFS_hMAX,2,problem_d1_r0_l2_p2_c2_g2.pddl,si,0.00074,5,no_garantizado,ok
BFS,3,problem_d1_r0_l3_p3_c3_g3.pddl,si,0.0021,9,si,ok
IDS,3,problem_d1_r0_l3_p3_c3_g3.pddl,si,0.072,9,si,ok
A*_hMAX,3,problem_d1_r0_l3_p3_c3_g3.pddl,si,0.018,9,si,ok
GBFS_hMAX,3,problem_d1_r0_l3_p3_c3_g3.pddl,si,0.0037,9,no_garantizado,ok
BFS,4,problem_d1_r0_l4_p4_c4_g4.pddl,si,0.022,12,si,ok
IDS,4,problem_d1_r0_l4_p4_c4_g4.pddl,si,3.6,12,si,ok
A*_hMAX,4,problem_d1_r0_l4_p4_c4_g4.pddl,si,0.29,12,si,ok
GBFS_hMAX,4,problem_d1_r0_l4_p4_c4_g4.pddl,si,0.047,13,no_garantizado,ok
BFS,5,problem_d1_r0_l5_p5_c5_g5.pddl,si,0.2,16,si,ok
IDS,5,problem_d1_r0_l5_p5_c5_g5.pddl,no,,,si,timeout
A*_hMAX,5,problem_d1_r0_l5_p5_c5_g5.pddl,si,3.6,16,si,ok
GBFS_hMAX,5,problem_d1_r0_l5_p5_c5_g5.pddl,si,0.068,17,no_garantizado,ok
BFS,6,problem_d1_r0_l6_p6_c6_g6.pddl,si,1.8,18,si,ok
IDS,6,problem_d1_r0_l6_p6_c6_g6.pddl,no,,,si,timeout
A*_hMAX,6,problem_d1_r0_l6_p6_c6_g6.pddl,si,3.4,18,si,ok
GBFS_hMAX,6,problem_d1_r0_l6_p6_c6_g6.pddl,si,8.6,21,no_garantizado,ok
BFS,7,problem_d1_r0_l7_p7_c7_g7.pddl,si,1.2,21,si,ok
A*_hMAX,7,problem_d1_r0_l7_p7_c7_g7.pddl,no,,,si,timeout
GBFS_hMAX,7,problem_d1_r0_l7_p7_c7_g7.pddl,si,4.7,26,no_garantizado,ok
BFS,8,problem_d1_r0_l8_p8_c8_g8.pddl,no,,,si,timeout
A*_hMAX,8,problem_d1_r0_l8_p8_c8_g8.pddl,no,,,si,timeout
GBFS_hMAX,8,problem_d1_r0_l8_p8_c8_g8.pddl,si,1.9,29,no_garantizado,ok
BFS,9,problem_d1_r0_l9_p9_c9_g9.pddl,no,,,si,timeout
GBFS_hMAX,9,problem_d1_r0_l9_p9_c9_g9.pddl,no,,,no_garantizado,timeout
GBFS_hMAX,10,problem_d1_r0_l10_p10_c10_g10.pddl,no,,,no_garantizado,timeout
