planificador,tipo,n,problema,resuelto,motivo,tiempo_total_s,tiempo_busqueda_s,coste_plan,longitud_plan,returncode
metric-ff,satisficing,5,problem_d1_r1_l5_p5_c5_g5.pddl,si,ok,0.00,,1987.000000,20,0
metric-ff,satisficing,10,problem_d1_r1_l10_p10_c10_g10.pddl,si,ok,0.00,,2081.000000,41,0
metric-ff,satisficing,15,problem_d1_r1_l15_p15_c15_g15.pddl,no,sin_solucion,,,,,0
metric-ff,satisficing,11,problem_d1_r1_l11_p11_c11_g11.pddl,no,sin_solucion,,,,,0
metric-ff,satisficing,12,problem_d1_r1_l12_p12_c12_g12.pddl,no,sin_solucion,,,,,0
metric-ff,satisficing,13,problem_d1_r1_l13_p13_c13_g13.pddl,no,sin_solucion,,,,,0
metric-ff,satisficing,14,problem_d1_r1_l14_p14_c14_g14.pddl,no,sin_solucion,,,,,0
lama-first,satisficing,5,problem_d1_r1_l5_p5_c5_g5.pddl,si,ok,0.005189,0.000668,1673,19,0
lama-first,satisficing,10,problem_d1_r1_l10_p10_c10_g10.pddl,si,ok,0.013130,0.002874,2580,42,0
lama-first,satisficing,15,problem_d1_r1_l15_p15_c15_g15.pddl,si,ok,0.031266,0.010200,5281,66,0
lama-first,satisficing,20,problem_d1_r1_l20_p20_c20_g20.pddl,si,ok,0.077924,0.041094,4753,85,0
lama-first,satisficing,25,problem_d1_r1_l25_p25_c25_g25.pddl,si,ok,0.126840,0.067152,8676,101,0
lama-first,satisficing,30,problem_d1_r1_l30_p30_c30_g30.pddl,si,ok,0.287844,0.194959,10843,126,0
lama-first,satisficing,35,problem_d1_r1_l35_p35_c35_g35.pddl,si,ok,0.496477,0.356756,11883,152,0
lama-first,satisficing,40,problem_d1_r1_l40_p40_c40_g40.pddl,si,ok,0.864549,0.644816,14413,173,0
lama-first,satisficing,45,problem_d1_r1_l45_p45_c45_g45.pddl,si,ok,0.847232,0.566883,15012,195,0
lama-first,satisficing,50,problem_d1_r1_l50_p50_c50_g50.pddl,si,ok,2.422629,2.068034,15327,214,0
lama-first,satisficing,55,problem_d1_r1_l55_p55_c55_g55.pddl,si,ok,3.173436,2.713295,20468,236,0
lama-first,satisficing,60,problem_d1_r1_l60_p60_c60_g60.pddl,si,ok,2.918606,2.202680,23216,264,0
lama-first,satisficing,65,problem_d1_r1_l65_p65_c65_g65.pddl,si,ok,5.603830,4.858280,22378,274,0
lama-first,satisficing,70,problem_d1_r1_l70_p70_c70_g70.pddl,si,ok,9.139243,8.127638,23471,298,0
lama-first,satisficing,75,problem_d1_r1_l75_p75_c75_g75.pddl,si,ok,14.427624,13.265048,23368,323,0
lama-first,satisficing,80,problem_d1_r1_l80_p80_c80_g80.pddl,si,ok,21.475720,20.091767,29244,340,0
lama-first,satisficing,85,problem_d1_r1_l85_p85_c85_g85.pddl,si,ok,27.617088,25.879741,35216,371,0
lama-first,satisficing,90,problem_d1_r1_l90_p90_c90_g90.pddl,si,ok,32.656242,30.615621,32256,383,0
lama-first,satisficing,95,problem_d1_r1_l95_p95_c95_g95.pddl,si,ok,40.568087,38.228918,35061,406,0
lama-first,satisficing,100,problem_d1_r1_l100_p100_c100_g100.pddl,no,timeout,,,,,timeout
lama-first,satisficing,96,problem_d1_r1_l96_p96_c96_g96.pddl,si,ok,45.614646,43.129665,33601,420,0
lama-first,satisficing,97,problem_d1_r1_l97_p97_c97_g97.pddl,si,ok,38.203774,35.812064,33638,414,0
lama-first,satisficing,98,problem_d1_r1_l98_p98_c98_g98.pddl,no,timeout,,,,,timeout
lama-first,satisficing,99,problem_d1_r1_l99_p99_c99_g99.pddl,no,timeout,,,,,timeout
seq-sat-fdss-2,satisficing,5,problem_d1_r1_l5_p5_c5_g5.pddl,si,ok,0.004109,0.000970,1673,19,0
seq-sat-fdss-2,satisficing,10,problem_d1_r1_l10_p10_c10_g10.pddl,no,timeout,,,,,timeout
seq-sat-fdss-2,satisficing,6,problem_d1_r1_l6_p6_c6_g6.pddl,si,ok,0.003647,0.000000,1677,23,0
seq-sat-fdss-2,satisficing,7,problem_d1_r1_l7_p7_c7_g7.pddl,no,timeout,,,,,timeout
seq-sat-fdss-2,satisficing,8,problem_d1_r1_l8_p8_c8_g8.pddl,no,timeout,,,,,timeout
seq-sat-fdss-2,satisficing,9,problem_d1_r1_l9_p9_c9_g9.pddl,no,timeout,,,,,timeout
seq-sat-fd-autotune-2,satisficing,5,problem_d1_r1_l5_p5_c5_g5.pddl,si,ok,17.468996,0.003174,1769,23,0
seq-sat-fd-autotune-2,satisficing,10,problem_d1_r1_l10_p10_c10_g10.pddl,no,timeout,,,,,timeout
seq-sat-fd-autotune-2,satisficing,6,problem_d1_r1_l6_p6_c6_g6.pddl,no,timeout,,,,,timeout
seq-sat-fd-autotune-2,satisficing,7,problem_d1_r1_l7_p7_c7_g7.pddl,no,timeout,,,,,timeout
seq-sat-fd-autotune-2,satisficing,8,problem_d1_r1_l8_p8_c8_g8.pddl,no,timeout,,,,,timeout
seq-sat-fd-autotune-2,satisficing,9,problem_d1_r1_l9_p9_c9_g9.pddl,no,timeout,,,,,timeout
seq-opt-lmcut,optimo,5,problem_d1_r1_l5_p5_c5_g5.pddl,si,ok,0.341412,0.337734,379,21,0
seq-opt-lmcut,optimo,10,problem_d1_r1_l10_p10_c10_g10.pddl,no,timeout,,,,,timeout
seq-opt-lmcut,optimo,6,problem_d1_r1_l6_p6_c6_g6.pddl,si,ok,29.323677,29.319076,610,29,0
seq-opt-lmcut,optimo,7,problem_d1_r1_l7_p7_c7_g7.pddl,no,timeout,,,,,timeout
seq-opt-lmcut,optimo,8,problem_d1_r1_l8_p8_c8_g8.pddl,no,timeout,,,,,timeout
seq-opt-lmcut,optimo,9,problem_d1_r1_l9_p9_c9_g9.pddl,no,timeout,,,,,timeout
seq-opt-bjolp,optimo,5,problem_d1_r1_l5_p5_c5_g5.pddl,si,ok,0.199935,0.194724,379,21,0
seq-opt-bjolp,optimo,10,problem_d1_r1_l10_p10_c10_g10.pddl,no,timeout,,,,,timeout
seq-opt-bjolp,optimo,6,problem_d1_r1_l6_p6_c6_g6.pddl,si,ok,4.736533,4.730968,610,29,0
