drones,transportadores,n,problema,motivo_final,returncode,num_soluciones,tiempo_primera_solucion_s,duracion_primera_solucion,pasos_primera_solucion,tiempo_ultima_solucion_s,duracion_ultima_solucion,pasos_ultima_solucion,mejora_duracion,mejora_pasos,timeout_s,log
1,1,2,problem_d1_r1_l2_p2_c2_g2.pddl,timeout_con_solucion,timeout,2,0.06,224.006,7,0.15,108.008,9,115.998,-2,60,resultados_3/logs_d1_r1/optic_d1_r1_n2.log
1,1,12,problem_d1_r1_l12_p12_c12_g12.pddl,timeout_con_solucion,timeout,1,0.62,4371.05,51,0.62,4371.05,51,0.0,0,60,resultados_3/logs_d1_r1/optic_d1_r1_n12.log
1,1,22,problem_d1_r1_l22_p22_c22_g22.pddl,timeout_con_solucion,timeout,1,5.92,7359.096,97,5.92,7359.096,97,0.0,0,60,resultados_3/logs_d1_r1/optic_d1_r1_n22.log
1,1,32,problem_d1_r1_l32_p32_c32_g32.pddl,timeout_con_solucion,timeout,1,25.06,11765.143,144,25.06,11765.143,144,0.0,0,60,resultados_3/logs_d1_r1/optic_d1_r1_n32.log
1,1,37,problem_d1_r1_l37_p37_c37_g37.pddl,timeout_con_solucion,timeout,1,48.95,15444.165,166,48.95,15444.165,166,0.0,0,60,resultados_3/logs_d1_r1/optic_d1_r1_n37.log
1,1,38,problem_d1_r1_l38_p38_c38_g38.pddl,timeout_con_solucion,timeout,1,43.68,16002.169,170,43.68,16002.169,170,0.0,0,60,resultados_3/logs_d1_r1/optic_d1_r1_n38.log
1,1,39,problem_d1_r1_l39_p39_c39_g39.pddl,timeout_con_solucion,timeout,1,55.51,15368.175,176,55.51,15368.175,176,0.0,0,60,resultados_3/logs_d1_r1/optic_d1_r1_n39.log
1,1,40,problem_d1_r1_l40_p40_c40_g40.pddl,timeout_con_solucion,timeout,1,49.29,14685.172,173,49.29,14685.172,173,0.0,0,60,resultados_3/logs_d1_r1/optic_d1_r1_n40.log
1,1,41,problem_d1_r1_l41_p41_c41_g41.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d1_r1/optic_d1_r1_n41.log
1,1,42,problem_d1_r1_l42_p42_c42_g42.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d1_r1/optic_d1_r1_n42.log
2,2,2,problem_d2_r2_l2_p2_c2_g2.pddl,timeout_con_solucion,timeout,1,0.06,83.003,6,0.06,83.003,6,0.0,0,60,resultados_3/logs_d2_r2/optic_d2_r2_n2.log
2,2,12,problem_d2_r2_l12_p12_c12_g12.pddl,timeout_con_solucion,timeout,1,12.17,3088.037,65,12.17,3088.037,65,0.0,0,60,resultados_3/logs_d2_r2/optic_d2_r2_n12.log
2,2,17,problem_d2_r2_l17_p17_c17_g17.pddl,timeout_con_solucion,timeout,1,52.77,3488.049,88,52.77,3488.049,88,0.0,0,60,resultados_3/logs_d2_r2/optic_d2_r2_n17.log
2,2,18,problem_d2_r2_l18_p18_c18_g18.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d2_r2/optic_d2_r2_n18.log
2,2,22,problem_d2_r2_l22_p22_c22_g22.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d2_r2/optic_d2_r2_n22.log
3,3,2,problem_d3_r3_l2_p2_c2_g2.pddl,timeout_con_solucion,timeout,1,0.11,83.003,7,0.11,83.003,7,0.0,0,60,resultados_3/logs_d3_r3/optic_d3_r3_n2.log
3,3,7,problem_d3_r3_l7_p7_c7_g7.pddl,timeout_con_solucion,timeout,1,6.82,1039.012,33,6.82,1039.012,33,0.0,0,60,resultados_3/logs_d3_r3/optic_d3_r3_n7.log
3,3,8,problem_d3_r3_l8_p8_c8_g8.pddl,timeout_con_solucion,timeout,1,10.69,1019.014,38,10.69,1019.014,38,0.0,0,60,resultados_3/logs_d3_r3/optic_d3_r3_n8.log
3,3,9,problem_d3_r3_l9_p9_c9_g9.pddl,timeout_con_solucion,timeout,1,20.1,1216.014,43,20.1,1216.014,43,0.0,0,60,resultados_3/logs_d3_r3/optic_d3_r3_n9.log
3,3,10,problem_d3_r3_l10_p10_c10_g10.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d3_r3/optic_d3_r3_n10.log
3,3,12,problem_d3_r3_l12_p12_c12_g12.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d3_r3/optic_d3_r3_n12.log
4,4,2,problem_d4_r4_l2_p2_c2_g2.pddl,timeout_con_solucion,timeout,1,0.33,83.003,8,0.33,83.003,8,0.0,0,60,resultados_3/logs_d4_r4/optic_d4_r4_n2.log
4,4,6,problem_d4_r4_l6_p6_c6_g6.pddl,timeout_con_solucion,timeout,1,50.91,617.007,32,50.91,617.007,32,0.0,0,60,resultados_3/logs_d4_r4/optic_d4_r4_n6.log
4,4,7,problem_d4_r4_l7_p7_c7_g7.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d4_r4/optic_d4_r4_n7.log
4,4,12,problem_d4_r4_l12_p12_c12_g12.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d4_r4/optic_d4_r4_n12.log
5,5,2,problem_d5_r5_l2_p2_c2_g2.pddl,timeout_con_solucion,timeout,1,1.4,83.003,9,1.4,83.003,9,0.0,0,60,resultados_3/logs_d5_r5/optic_d5_r5_n2.log
5,5,3,problem_d5_r5_l3_p3_c3_g3.pddl,timeout_con_solucion,timeout,1,8.11,214.004,17,8.11,214.004,17,0.0,0,60,resultados_3/logs_d5_r5/optic_d5_r5_n3.log
5,5,4,problem_d5_r5_l4_p4_c4_g4.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d5_r5/optic_d5_r5_n4.log
5,5,5,problem_d5_r5_l5_p5_c5_g5.pddl,timeout_sin_solucion,timeout,0,,,,,,,,,60,resultados_3/logs_d5_r5/optic_d5_r5_n5.log
